Date,Close
2025-03-01,2.1916
2025-02-28,2.1453
2025-02-27,2.1985
2025-02-26,2.1982
2025-02-19,2.7378
2025-02-18,2.5628
2025-02-17,2.6599
2025-02-16,2.7283
2025-02-15,2.7619
2025-02-14,2.7384
2025-02-13,2.5599
2025-02-12,2.4734
2025-02-11,2.4131
2025-02-10,2.4237
2025-02-09,2.3928
2025-02-08,2.419
2025-02-07,2.3968
2025-02-06,2.325
2025-02-05,2.381
2025-02-04,2.5274
2025-02-03,2.7001
2025-02-02,2.58
2025-02-01,2.8778
2025-01-31,3.0361
2025-01-30,3.1276
2025-01-29,3.0683
2025-01-28,3.0572
2025-01-27,3.0552
2025-01-26,3.0223
2025-01-25,3.108
2025-01-24,3.1009
2025-01-23,3.1194
2025-01-22,3.1803
2025-01-21,3.1738
2025-01-20,3.1053
2025-01-19,2.9587
2025-01-18,3.2697
2025-01-17,3.2922
2025-01-16,3.2451
2025-01-15,3.1429
2025-01-14,2.6673
2025-01-13,2.5232
2025-01-12,2.5046
2025-01-11,2.5764
2025-01-10,2.3414
2025-01-09,2.2722
2025-01-08,2.3731
2025-01-07,2.2712
2025-01-06,2.42
2025-01-05,2.3994
2025-01-04,2.4201
2025-01-03,2.4547
2025-01-02,2.4024
2025-01-01,2.3328
2024-12-31,2.0836
2024-12-30,2.0587
2024-12-29,2.0942
2024-12-28,2.1843
2024-12-27,2.1466
2024-12-26,2.1559
2024-12-25,2.2973
2024-12-24,2.3238
2024-12-23,2.2617
2024-12-22,2.2031
2024-12-21,2.238
2024-12-20,2.2793
2024-12-19,2.239
2024-12-18,2.3103
2024-12-17,2.5673
2024-12-16,2.4841
2024-12-15,2.4469
2024-12-14,2.4005
2024-12-13,2.4217
2024-12-12,2.3384
2024-12-11,2.3941
2024-12-10,2.3709
2024-12-09,2.2124
2024-12-08,2.6013
2024-12-07,2.6099
2024-12-06,2.4257
2024-12-05,2.2446
2024-12-04,2.3574
2024-12-03,2.5102
2024-12-02,2.7245
2024-12-01,2.2937
2024-11-30,1.9513
2024-11-29,1.8006
2024-11-28,1.5421
2024-11-27,1.4696
2024-11-26,1.3984
2024-11-25,1.4142
2024-11-24,1.4331
2024-11-23,1.4685
2024-11-22,1.4726
2024-11-21,1.247
2024-11-20,1.1041
2024-11-19,1.1003
2024-11-18,1.1137
2024-11-17,1.0543
2024-11-16,1.1209
2024-11-15,0.8922
2024-11-14,0.7736
2024-11-13,0.6898
2024-11-12,0.704
2024-11-11,0.6207
2024-11-10,0.5884
2024-11-09,0.5593
2024-11-08,0.5537
2024-11-07,0.5556
2024-11-06,0.5418
2024-11-05,0.514
2024-11-04,0.5035
2024-11-03,0.503
2024-11-02,0.5103
2024-11-01,0.5131
2024-10-31,0.5095
2024-10-30,0.5229
2024-10-29,0.5284
2024-10-28,0.5195
2024-10-27,0.5168
2024-10-26,0.5134
2024-10-25,0.5022
2024-10-24,0.532
2024-10-23,0.5258
2024-10-22,0.5339
2024-10-21,0.5449
2024-10-20,0.5482
2024-10-19,0.544
2024-10-18,0.5465
2024-10-17,0.5441
2024-10-16,0.5482
2024-10-15,0.5417
2024-10-14,0.5483
2024-10-13,0.5321
2024-10-12,0.5393
